code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600036,20220715,0,0,0,1.522
SH600036,20230713,0,0,0,1.738
SH600036,20240711,0,0,0,1.972
SH600037,20010710,0,0,0,0.1
SH600037,20020708,0,0,0,0.25
SH600037,20021015,0.3,0,0,0
SH600037,20030723,0,0,0,0.15
SH600037,20040621,0,0,0,0.15
SH600037,20041209,0,0,0,0.3
SH600037,20050704,0,0,0,0.15
SH600037,20050930,0.6,0,0,0
SH600037,20060303,0.3,0,0,0
SH600037,20060629,0,0,0,0.3
SH600037,20070510,0.6,0,0,0.1
SH600037,20090618,0,0,0,0.15
SH600037,20110614,0,0,0,0.1
SH600037,20120528,0,0,0,0.1
SH600037,20130628,0,0,0,0.1
SH600037,20140728,0,0,0,0.1
SH600037,20150617,0,0,0,0.18
SH600037,20160517,0,0,0,0.18
SH600037,20170609,0,0,0,0.18
SH600037,20180608,0,0,0,0.18
SH600037,20190621,0,0,0,0.18
SH600038,20020516,0.6,0,0,0.1
SH600038,20030909,0,0.188,14.09,0
SH600038,20040714,0.3,0,0,0.1
SH600038,20050706,0,0,0,0.1
SH600038,20060824,0.13,0,0,0.771
SH600038,20080707,0,0,0,0.1
SH600038,20090714,0,0,0,0.1
SH600038,20100712,0,0,0,0.1
SH600038,20110711,0,0,0,0.1
SH600038,20120813,0,0,0,0.1
SH600038,20130614,0,0,0,0.16
SH600038,20140815,0,0,0,0.13
SH600038,20150709,0,0,0,0.14
SH600038,20160720,0,0,0,0.25
SH600038,20170626,0,0,0,0.23
SH600038,20180711,0,0,0,0.233
SH600038,20190716,0,0,0,0.26
SH600039,20040608,0.2,0,0,0.05
SH600039,20070108,0.6,0,0,0
SH600039,20120515,0.8,0,0,0.1
SH600039,20130618,0,0,0,0.15
SH600039,20140526,0,0,0,0.05
SH600039,20141009,1,0,0,0
SH600039,20150710,0,0,0,0.05
SH600039,20160707,0,0,0,0.05
SH600039,20170622,0,0,0,0.05
SH600039,20180709,0,0,0,0.05
SH600039,20190718,0,0,0,0.05
SH600048,20070402,1,0,0,0.03
SH600048,20080311,1,0,0,0.07
SH600048,20090430,0.3,0,0,0.132
SH600048,20100427,0.3,0,0,0.1
SH600048,20110517,0.3,0,0,0.213
SH600048,20120618,0.2,0,0,0.215
SH600048,20130603,0,0,0,0.232
SH600048,20140522,0.5,0,0,0.294
SH600048,20150611,0,0,0,0.216
SH600048,20160517,0,0,0,0.345
SH600048,20170609,0,0,0,0.315
SH600048,20180608,0,0,0,0.4
SH600048,20190528,0,0,0,0.5
SH600050,20030616,0,0,0,0.0357
SH600050,20040625,0,0,0,0.035
SH600050,20040707,0,0.3,3,0
SH600050,20050624,0,0,0,0.0325
SH600050,20060519,0.28,0,0,0
SH600050,20060623,0,0,0,0.0414
SH600050,20070627,0,0,0,0.0672
SH600050,20080630,0,0,0,0.0672
SH600050,20090713,0,0,0,0.0672
SH600050,20100622,0,0,0,0.0536
SH600050,20110701,0,0,0,0.026
SH600050,20120706,0,0,0,0.0335
SH600050,20130701,0,0,0,0.0399
SH600050,20140527,0,0,0,0.0534
SH600050,20150703,0,0,0,0.0673
SH600050,20160630,0,0,0,0.0572
SH600050,20180629,0,0,0,0.0198
SH600050,20190627,0,0,0,0.0533
SH600051,19970609,0.4,0,0,0.2
SH600051,19980415,0.8,0,0,0
SH600051,19990625,0,0,0,0.1
SH600051,20010628,0,0,0,0.11
SH600051,20020620,0,0,0,0.1
SH600051,20030603,0,0,0,0.1
SH600051,20040617,0,0,0,0.16
SH600051,20050609,0,0,0,0.1
SH600051,20060516,0.32,0,0,0
SH600051,20060615,0,0,0,0.02
SH600051,20070614,0,0,0,0.5
SH600051,20090610,0,0,0,0.2
SH600051,20100609,0,0,0,0.15
SH600051,20110609,0,0,0,0.15
SH600051,20120530,0,0,0,0.1
SH600051,20130613,0,0,0,0.1
SH600051,20140513,0,0,0,0.16
SH600051,20160620,0,0,0,0.08
SH600051,20170605,0,0,0,0.08
SH600051,20180706,0,0,0,0.13
SH600051,20190524,0,0,0,0.15
SH600052,19970707,0.8,0,0,0
SH600052,19990513,0,0,0,0.1
SH600052,19990712,0,0.3,6.95,0
SH600052,20000525,0.5,0,0,0
SH600052,20010529,0,0,0,0.1
SH600052,20010807,0,0.3,10.12,0
SH600052,20020723,0,0,0,0.114
SH600052,20070412,0.115,0,0,0
SH600052,20110624,0,0,0,0.05
SH600052,20130702,0,0,0,0.03
SH600052,20140526,0,0,0,0.04
SH600052,20150529,0,0,0,0.075
SH600052,20190712,0,0,0,0.077
SH600053,19980506,0.3,0,0,0
SH600053,20000428,0,0.3,6.88,0
SH600053,20010530,0,0,0,0.1
SH600053,20090512,0.2,0,0,0.05
SH600053,20110609,0.2,0,0,0
SH600053,20130619,0,0,0,0.02
SH600053,20140709,0,0,0,0.02
SH600053,20150626,0,0,0,0.06
SH600053,20160616,0,0,0,0.25
SH600053,20170706,0,0,0,0.435
SH600053,20190628,0,0,0,0.74
SH600054,19970728,0,0,0,0.025
SH600054,19990622,0,0,0,0.2
SH600054,19991214,0.3,0,0,0
SH600054,20000526,0,0,0,0.146
SH600054,20020628,0,0,0,0.03
SH600054,20030709,0,0,0,0.02
SH600054,20050623,0,0,0,0.1
SH600054,20060217,0.29,0,0,0
SH600054,20060703,0,0,0,0.085
SH600054,20061102,0.5,0,0,0
SH600054,20070416,0,0,0,0.14
SH600054,20080814,0,0,0,0.145
SH600054,20090714,0,0,0,0.1
SH600054,20120727,0,0,0,0.14
SH600054,20130710,0,0,0,0.03
